"","OTU","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S4","S5","S6","S7","S8","S9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_2312","16S_2312",0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,94,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium",NA
"16S_2313","16S_2313",0,0,0,0,41,0,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,0,0,0,35,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"16S_2314","16S_2314",0,0,0,0,0,40,0,0,0,33,41,0,0,36,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"16S_2315","16S_2315",0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_2316","16S_2316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_2319","16S_2319",0,64,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,64,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"16S_2321","16S_2321",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,46,0,62,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA,NA
"16S_2322","16S_2322",0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,19,0,0,0,0,0,0,50,0,0,25,0,23,0,0,0,"Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","PHOS-HE36",NA,NA
"16S_2323","16S_2323",0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_2324","16S_2324",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_2325","16S_2325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,58,0,25,0,48,0,0,0,0,0,0,23,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"16S_2326","16S_2326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_2331","16S_2331",0,0,44,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,54,0,0,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea",NA
"16S_2332","16S_2332",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,35,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA
"16S_2333","16S_2333",0,0,0,0,0,0,0,0,0,0,0,66,0,0,29,0,0,0,0,0,0,0,0,44,0,38,25,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methylobacter",NA
"16S_2334","16S_2334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,42,0,0,0,0,0,0,99,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA,NA
"16S_2338","16S_2338",56,0,0,0,0,0,0,0,0,0,0,0,0,41,51,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",NA
"16S_2339","16S_2339",0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA
"16S_2340","16S_2340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,42,0,56,42,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"16S_2343","16S_2343",0,21,0,0,0,0,0,0,0,31,0,20,22,0,0,0,0,0,22,0,24,0,0,27,0,0,0,0,0,0,33,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"16S_2344","16S_2344",0,0,0,13,0,0,0,88,0,0,0,0,79,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodopirillaceae","Defluviicoccus",NA
"16S_2345","16S_2345",0,0,0,8,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Marinifilum",NA
"16S_2346","16S_2346",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,41,0,0,28,0,59,0,0,37,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_2347","16S_2347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,108,0,0,0,61,0,0,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","PAUC26f",NA
"16S_2348","16S_2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,48,0,0,0,0,30,45,0,0,0,57,0,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_2353","16S_2353",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,39,32,0,47,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidetes VC2.1 Bac22",NA,NA,NA
"16S_2354","16S_2354",0,0,0,91,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Nitrosomonas",NA
"16S_2355","16S_2355",0,0,0,0,60,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","IS-44",NA
"16S_2356","16S_2356",0,0,0,0,0,72,52,0,0,0,0,0,0,0,0,0,0,0,0,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"16S_2357","16S_2357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,42,71,0,0,0,0,0,0,0,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_2358","16S_2358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,70,0,0,53,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Candidatus Accumulibacter",NA
"16S_2361","16S_2361",0,36,0,48,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,21,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_2362","16S_2362",0,0,0,49,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,75,32,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA
"16S_2363","16S_2363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,41,79,0,0,0,37,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"16S_2371","16S_2371",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_2372","16S_2372",0,0,13,0,29,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,40,0,0,0,0,37,20,0,33,0,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_2373","16S_2373",0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,54,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"16S_2374","16S_2374",0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,83,0,0,48,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA,NA
"16S_2375","16S_2375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,65,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Nitrosospira",NA
"16S_2376","16S_2376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,75,0,0,0,0,61,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA
"16S_2378","16S_2378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29",NA
"16S_2381","16S_2381",0,0,0,45,0,0,0,0,34,0,0,0,0,0,0,24,38,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,13,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA
"16S_2382","16S_2382",0,0,0,0,28,0,0,0,0,30,50,0,0,31,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","CCM19a",NA,NA,NA
"16S_2383","16S_2383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,27,0,0,100,0,0,0,0,0,43,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_2390","16S_2390",0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI_2I","Fusibacter",NA
"16S_2391","16S_2391",0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,34,0,0,0,56,0,0,0,0,0,0,0,0,0,41,0,21,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA,NA
"16S_2392","16S_2392",0,0,0,0,0,0,0,0,0,0,0,0,48,61,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,57,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methyloprofundus",NA
"16S_2393","16S_2393",0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,68,0,0,0,0,0,0,69,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA
"16S_2394","16S_2394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,48,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"16S_2398","16S_2398",0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13",NA,NA,NA
"16S_2402","16S_2402",0,0,34,0,0,21,0,0,0,0,0,0,0,0,0,0,36,12,0,0,0,0,0,0,0,0,0,0,33,0,0,0,25,0,32,"Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA,NA
"16S_2403","16S_2403",0,0,20,0,34,0,0,24,0,22,0,0,0,37,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"16S_2404","16S_2404",0,0,53,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA,NA
"16S_2405","16S_2405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MSB-4B10",NA,NA
"16S_2410","16S_2410",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteria","Aminicenantia","Aminicenantales",NA,NA,NA
"16S_2411","16S_2411",0,0,0,57,43,0,0,0,0,25,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae","endosymbionts",NA
"16S_2416","16S_2416",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,0,0,0,45,0,0,0,0,0,34,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",NA
"16S_2417","16S_2417",0,0,0,0,0,56,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,39,0,0,0,0,0,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea",NA
"16S_2418","16S_2418",0,0,0,0,0,0,36,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,68,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_2419","16S_2419",0,0,0,0,0,0,0,0,0,0,0,0,40,0,61,0,0,0,0,0,0,49,0,0,0,0,0,40,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA
"16S_2420","16S_2420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,64,0,0,0,0,0,50,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA
"16S_2426","16S_2426",0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,36,0,0,0,0,0,0,0,0,0,11,11,0,18,32,0,0,31,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae",NA,NA
"16S_2427","16S_2427",0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,35,0,0,0,40,0,39,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA
"16S_2428","16S_2428",0,0,0,0,0,0,23,46,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium",NA
"16S_2432","16S_2432",0,96,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA
"16S_2433","16S_2433",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,31,0,0,0,0,0,0,58,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA,NA
"16S_2434","16S_2434",0,0,0,32,0,0,0,27,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_2435","16S_2435",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,27,0,0,0,0,54,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_2436","16S_2436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,50,0,0,62,0,0,0,0,0,"Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales",NA,NA,NA
"16S_2438","16S_2438",56,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,41,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",NA,NA,NA
"16S_2439","16S_2439",0,42,21,29,0,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"16S_2440","16S_2440",0,0,0,40,0,42,0,0,0,0,0,0,0,0,0,0,23,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"16S_2441","16S_2441",0,0,0,7,12,13,17,0,0,0,13,17,0,17,0,0,8,0,0,0,0,0,26,29,0,15,10,0,0,0,0,0,0,3,0,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_2442","16S_2442",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,19,34,31,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_2443","16S_2443",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"16S_2444","16S_2444",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,61,0,0,0,19,0,7,65,0,0,0,0,0,0,22,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae",NA,NA
"16S_2445","16S_2445",0,0,0,0,0,0,7,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,16,23,0,33,0,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA
"16S_2446","16S_2446",0,0,0,0,0,0,0,31,0,0,34,0,0,0,0,0,0,0,0,0,0,0,56,0,66,0,0,0,0,0,0,0,0,0,0,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA
"16S_2447","16S_2447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,83,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_2448","16S_2448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,102,0,0,0,0,0,39,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_2452","16S_2452",22,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,29,0,22,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"16S_2453","16S_2453",0,34,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,24,0,0,0,0,0,0,0,45,34,0,0,0,23,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Thiomargarita",NA
"16S_2454","16S_2454",0,33,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,31,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"16S_2455","16S_2455",0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,23,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"16S_2461","16S_2461",0,37,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,21,17,0,0,0,46,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae",NA,NA
"16S_2462","16S_2462",0,0,35,0,0,76,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA
"16S_2463","16S_2463",0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,30,34,32,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"16S_2464","16S_2464",0,0,0,0,0,0,0,0,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_2465","16S_2465",0,0,0,0,0,0,0,0,0,0,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,54,0,0,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_2466","16S_2466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,23,0,28,0,0,0,43,0,0,0,0,0,0,0,0,0,18,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"16S_2468","16S_2468",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI_2I","Fusibacter",NA
"16S_2469","16S_2469",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,58,20,21,0,14,0,21,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",NA
"16S_2473","16S_2473",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,38,0,26,0,0,0,0,47,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Sva1033",NA,NA
"16S_2474","16S_2474",0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,37,0,0,43,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA
"16S_2475","16S_2475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,62,0,64,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","[Desulfobacterium] catecholicum group",NA
"16S_2476","16S_2476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,42,0,42,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"16S_2479","16S_2479",21,0,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,29,32,0,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_2480","16S_2480",11,0,0,0,0,41,0,0,0,0,0,0,0,39,0,0,0,0,0,21,0,0,0,0,0,0,30,0,0,0,40,0,0,0,0,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996 marine group",NA
"16S_2481","16S_2481",0,31,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,18,0,0,34,0,0,0,0,44,0,0,0,0,0,21,0,0,0,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",NA
"16S_2482","16S_2482",0,0,0,0,11,0,0,0,0,0,8,0,0,0,6,0,0,8,0,0,19,0,12,0,0,11,0,0,0,17,20,38,32,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_2483","16S_2483",71,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","PAUC26f",NA
"16S_2484","16S_2484",0,41,0,0,0,31,0,0,0,0,0,35,0,0,0,0,0,0,0,24,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA
"16S_2485","16S_2485",0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,39,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA
