Number,Sample,Value,Time,Treatment,log,Nutrient
92,CTR-2,0.803,Tf,Control,-0.095284455,PO4
93,CTR-3,1.28,Tf,Control,0.10720997,PO4
94,CTR-4,4.3,Tf,Control,0.633468456,PO4
95,CTR-5,0.578,Tf,Control,-0.238072162,PO4
96,100D-1,0.54,Tf,100D,-0.26760624,PO4
97,100D-2,2.04,Tf,100D,0.309630167,PO4
98,100D-3,0.989,Tf,100D,-0.004803708,PO4
99,100D-4,3.43,Tf,100D,0.53529412,PO4
100,100D-5,0.392,Tf,100D,-0.406713933,PO4
101,80D_20C-1,1.63,Tf,80D_20C,0.212187604,PO4
102,80D_20C-2,0.712,Tf,80D_20C,-0.147520006,PO4
103,80D_20C-3,1.67,Tf,80D_20C,0.222716471,PO4
104,80D_20C-4,1.06,Tf,80D_20C,0.025305865,PO4
105,80D_20C-5,1.98,Tf,80D_20C,0.29666519,PO4
106,50D_50C-1,2.73,Tf,50D_50C,0.436162647,PO4
107,50D_50C-2,1.77,Tf,50D_50C,0.247973266,PO4
108,50D_50C-3,0.0444,Tf,50D_50C,-1.35261703,PO4
109,50D_50C-4,2.68,Tf,50D_50C,0.428134794,PO4
110,50D_50C-5,1.27,Tf,50D_50C,0.103803721,PO4
111,20D_80C-1,2.94,Tf,20D_80C,0.46834733,PO4
112,20D_80C-2,1.1,Tf,20D_80C,0.041392685,PO4
113,20D_80C-3,1.48,Tf,20D_80C,0.170261715,PO4
114,20D_80C-4,1.97,Tf,20D_80C,0.294466226,PO4
115,20D_80C-5,2.2,Tf,20D_80C,0.342422681,PO4
116,100C-1,1.31,Tf,100C,0.117271296,PO4
117,100C-2,1.87,Tf,100C,0.271841607,PO4
118,100C-3,0.832,Tf,100C,-0.079876674,PO4
119,100C-4,1.69,Tf,100C,0.227886705,PO4
120,100C-5,1.83,Tf,100C,0.26245109,PO4
121,CTR-1,0.236,T0,Control,-0.627087997,NOX
122,CTR-2,0.0495,T0,Control,-1.305394801,NOX
123,CTR-3,0.767,T0,Control,-0.115204636,NOX
124,CTR-4,0.739,T0,Control,-0.131355562,NOX
125,CTR-5,0.0315,T0,Control,-1.501689446,NOX
126,100D-1,0.207,T0,100D,-0.684029655,NOX
127,100D-2,1.19,T0,100D,0.075546961,NOX
128,100D-3,1.43,T0,100D,0.155336037,NOX
129,100D-4,0.0874,T0,100D,-1.058488567,NOX
130,100D-5,1.11,T0,100D,0.045322979,NOX
131,80D_20C-1,0.0687,T0,80D_20C,-1.163043263,NOX
132,80D_20C-2,0.325,T0,80D_20C,-0.488116639,NOX
133,80D_20C-3,0.314,T0,80D_20C,-0.503070352,NOX
134,80D_20C-4,2.17,T0,80D_20C,0.336459734,NOX
135,80D_20C-5,1.21,T0,80D_20C,0.08278537,NOX
136,50D_50C-1,2.3,T0,50D_50C,0.361727836,NOX
137,50D_50C-2,1.8,T0,50D_50C,0.255272505,NOX
138,50D_50C-3,0.111,T0,50D_50C,-0.954677021,NOX
139,50D_50C-4,0.0298,T0,50D_50C,-1.525783736,NOX
140,50D_50C-5,2.02,T0,50D_50C,0.305351369,NOX
141,20D_80C-1,2.43,T0,20D_80C,0.385606274,NOX
142,20D_80C-2,2.1,T0,20D_80C,0.322219295,NOX
143,20D_80C-3,1.99,T0,20D_80C,0.298853076,NOX
144,20D_80C-4,2.71,T0,20D_80C,0.432969291,NOX
145,20D_80C-5,2.15,T0,20D_80C,0.33243846,NOX
146,100C-1,1.07,T0,100C,0.029383778,NOX
147,100C-2,2.27,T0,100C,0.356025857,NOX
148,100C-3,0.22,T0,100C,-0.657577319,NOX
149,100C-4,2.74,T0,100C,0.437750563,NOX
150,100C-5,2.46,T0,100C,0.390935107,NOX
151,CTR-1,12.8,Tf,Control,1.10720997,NOX
152,CTR-2,9,Tf,Control,0.954242509,NOX
153,CTR-3,12.3,Tf,Control,1.089905111,NOX
154,CTR-4,25.4,Tf,Control,1.404833717,NOX
155,CTR-5,8.34,Tf,Control,0.921166051,NOX
156,100D-1,16.3,Tf,100D,1.212187604,NOX
157,100D-2,9.35,Tf,100D,0.970811611,NOX
158,100D-3,10.9,Tf,100D,1.037426498,NOX
159,100D-4,43.8,Tf,100D,1.641474111,NOX
160,100D-5,2.16,Tf,100D,0.334453751,NOX
161,80D_20C-1,2.96,Tf,80D_20C,0.471291711,NOX
162,80D_20C-2,0.0585,Tf,80D_20C,-1.232844134,NOX
163,80D_20C-3,0.0266,Tf,80D_20C,-1.575118363,NOX
164,80D_20C-4,1.1,Tf,80D_20C,0.041392685,NOX
165,80D_20C-5,0.0546,Tf,80D_20C,-1.262807357,NOX
166,50D_50C-1,13.9,Tf,50D_50C,1.1430148,NOX
167,50D_50C-2,17.3,Tf,50D_50C,1.238046103,NOX
