Class,Abundance,Microcosms,Phase
Nitrospira,0.003601268,Wat100D,Water
Oxyphotobacteria,0.017072678,Wat100D,Water
Other,0.014938593,Wat100D,Water
Acidimicrobiia,0.003414535,Wat80D_20C,Water
Actinobacteria,0.069357748,Wat80D_20C,Water
Alphaproteobacteria,0.774032461,Wat80D_20C,Water
Deltaproteobacteria,1.259376632,Wat80D_20C,Water
Gammaproteobacteria,12.83358408,Wat80D_20C,Water
Bacteroidia,0.403075214,Wat80D_20C,Water
Campylobacteria,56.60648548,Wat80D_20C,Water
Clostridia,0,Wat80D_20C,Water
Gracilibacteria,5.153067214,Wat80D_20C,Water
Nitrospira,0.000640225,Wat80D_20C,Water
Oxyphotobacteria,0.007255888,Wat80D_20C,Water
Other,0.008429634,Wat80D_20C,Water
Acidimicrobiia,0,Wat50D_50C,Water
Actinobacteria,0.111185804,Wat50D_50C,Water
Alphaproteobacteria,0.497241696,Wat50D_50C,Water
Deltaproteobacteria,0.986107109,Wat50D_50C,Water
Gammaproteobacteria,12.02151157,Wat50D_50C,Water
Bacteroidia,0.39075088,Wat50D_50C,Water
Campylobacteria,57.85455147,Wat50D_50C,Water
Clostridia,0.00176062,Wat50D_50C,Water
Gracilibacteria,5.00080028,Wat50D_50C,Water
Nitrospira,0,Wat50D_50C,Water
Oxyphotobacteria,0.021767661,Wat50D_50C,Water
Other,0.015418761,Wat50D_50C,Water
Acidimicrobiia,0.001600563,Wat20D_80C,Water
Actinobacteria,0.108731607,Wat20D_80C,Water
Alphaproteobacteria,0.727509416,Wat20D_80C,Water
Deltaproteobacteria,0.666741361,Wat20D_80C,Water
Gammaproteobacteria,11.54433028,Wat20D_80C,Water
Bacteroidia,0.240778087,Wat20D_80C,Water
Campylobacteria,62.8552984,Wat20D_80C,Water
Clostridia,0,Wat20D_80C,Water
Gracilibacteria,3.368172261,Wat20D_80C,Water
Nitrospira,0,Wat20D_80C,Water
Oxyphotobacteria,0.035319099,Wat20D_80C,Water
Other,0.011844169,Wat20D_80C,Water
Acidimicrobiia,0,Wat100C,Water
Actinobacteria,0.132473298,Wat100C,Water
Alphaproteobacteria,0.974422996,Wat100C,Water
Deltaproteobacteria,1.048262322,Wat100C,Water
Gammaproteobacteria,10.00874975,Wat100C,Water
Bacteroidia,0.313817132,Wat100C,Water
Campylobacteria,55.1412764,Wat100C,Water
Clostridia,0.001440507,Wat100C,Water
Gracilibacteria,5.659058656,Wat100C,Water
Nitrospira,0,Wat100C,Water
Oxyphotobacteria,0.024328565,Wat100C,Water
Other,0.019313466,Wat100C,Water
