Family,Relative,Microcosms,Sample
Methylophagaceae,17.6446109,100D,S43
Pseudomonadaceae,0.27769775,100D,S43
Nitrincolaceae,1.082247618,100D,S43
Porticoccaceae,0.053618874,100D,S43
Saccharospirillaceae,0.1413831,100D,S43
Colwelliaceae,0.9984848,100D,S43
Burkholderiaceae,6.036258096,100D,S43
Arcobacteraceae,61.35786464,100D,S43
Crocinitomicaceae,0.025875775,100D,S43
NS11-12 marine group,0.014405071,100D,S43
Flavobacteriaceae,6.742640076,100D,S43
JGI 0000069-P22 order,2.104474108,100D,S43
Other,1.013423389,100D,S43
Mycobacteriaceae,0.118975213,100D,S44
Sporichthyaceae,0.469498597,100D,S44
Caulobacteraceae,0.079494649,100D,S44
Rhodobacteraceae,4.019281454,100D,S44
SAR11_Clade III,0.328115497,100D,S44
Bacteriovoracaceae,2.884215244,100D,S44
Moraxellaceae,0.283833243,100D,S44
Methylophagaceae,11.5942145,100D,S44
Pseudomonadaceae,0.644493528,100D,S44
Nitrincolaceae,2.37363552,100D,S44
Porticoccaceae,0,100D,S44
Saccharospirillaceae,3.838951311,100D,S44
Colwelliaceae,0.171260284,100D,S44
Burkholderiaceae,7.251352476,100D,S44
Arcobacteraceae,40.76181483,100D,S44
Crocinitomicaceae,0.028543381,100D,S44
NS11-12 marine group,0.024275212,100D,S44
Flavobacteriaceae,0.364128173,100D,S44
JGI 0000069-P22 order,22.16273462,100D,S44
Other,2.601182283,100D,S44
Mycobacteriaceae,0.034412113,100D,S45
Sporichthyaceae,0.093366198,100D,S45
Caulobacteraceae,0.019473521,100D,S45
Rhodobacteraceae,3.995006242,100D,S45
SAR11_Clade III,0.10376986,100D,S45
Bacteriovoracaceae,0.40040761,100D,S45
Moraxellaceae,0.012270986,100D,S45
Methylophagaceae,5.408837244,100D,S45
Pseudomonadaceae,0.512713809,100D,S45
Nitrincolaceae,1.971894107,100D,S45
Porticoccaceae,0.24035127,100D,S45
Saccharospirillaceae,0.484170428,100D,S45
Colwelliaceae,0.106970987,100D,S45
Burkholderiaceae,3.379589616,100D,S45
Arcobacteraceae,76.74781523,100D,S45
Crocinitomicaceae,0.004268169,100D,S45
NS11-12 marine group,0.741327614,100D,S45
Flavobacteriaceae,2.019644248,100D,S45
JGI 0000069-P22 order,3.35344708,100D,S45
Other,0.370263664,100D,S45
Mycobacteriaceae,0.07549324,80D_20C,S46
Sporichthyaceae,0.142450142,80D_20C,S46
Caulobacteraceae,0.053085353,80D_20C,S46
Rhodobacteraceae,3.546848491,80D_20C,S46
SAR11_Clade III,0.358792962,80D_20C,S46
Bacteriovoracaceae,0.661299444,80D_20C,S46
Moraxellaceae,0.016272395,80D_20C,S46
Methylophagaceae,9.11360799,80D_20C,S46
Pseudomonadaceae,0.119508734,80D_20C,S46
Nitrincolaceae,0.559663668,80D_20C,S46
Porticoccaceae,0.040014085,80D_20C,S46
Saccharospirillaceae,0.210740847,80D_20C,S46
Colwelliaceae,1.00301973,80D_20C,S46
Burkholderiaceae,5.998111335,80D_20C,S46
Arcobacteraceae,71.97493518,80D_20C,S46
Crocinitomicaceae,0.087230705,80D_20C,S46
NS11-12 marine group,0.006935775,80D_20C,S46
Flavobacteriaceae,0.824556911,80D_20C,S46
JGI 0000069-P22 order,4.31431864,80D_20C,S46
Other,0.893114379,80D_20C,S46
Mycobacteriaceae,0.112306198,80D_20C,S47
Sporichthyaceae,0.411878315,80D_20C,S47
Caulobacteraceae,0.119775494,80D_20C,S47
Rhodobacteraceae,1.109990717,80D_20C,S47
SAR11_Clade III,0.451358878,80D_20C,S47
Bacteriovoracaceae,6.869351345,80D_20C,S47
Moraxellaceae,0.034145352,80D_20C,S47
Methylophagaceae,10.06354237,80D_20C,S47
Pseudomonadaceae,0.577269866,80D_20C,S47
Nitrincolaceae,1.464515509,80D_20C,S47
Porticoccaceae,0.009870141,80D_20C,S47
Saccharospirillaceae,1.194553816,80D_20C,S47
Colwelliaceae,0.354791553,80D_20C,S47
Burkholderiaceae,3.591664266,80D_20C,S47
Arcobacteraceae,63.36977283,80D_20C,S47
Crocinitomicaceae,0.123776903,80D_20C,S47
NS11-12 marine group,0.002667606,80D_20C,S47
Flavobacteriaceae,1.260443676,80D_20C,S47
JGI 0000069-P22 order,7.666431917,80D_20C,S47
Other,1.21189325,80D_20C,S47
Mycobacteriaceae,0.122976621,80D_20C,S48
Sporichthyaceae,0.15071972,80D_20C,S48
Caulobacteraceae,0.034678874,80D_20C,S48
Rhodobacteraceae,8.941013904,80D_20C,S48
SAR11_Clade III,0.086430424,80D_20C,S48
Bacteriovoracaceae,3.514570462,80D_20C,S48
Moraxellaceae,0.013071268,80D_20C,S48
Methylophagaceae,1.853185655,80D_20C,S48
Pseudomonadaceae,0.552194372,80D_20C,S48
Nitrincolaceae,2.874878624,80D_20C,S48
Porticoccaceae,0,80D_20C,S48
Saccharospirillaceae,0.176061974,80D_20C,S48
Colwelliaceae,0.642359444,80D_20C,S48
Burkholderiaceae,8.517398124,80D_20C,S48
Arcobacteraceae,47.49271744,80D_20C,S48
Crocinitomicaceae,0.737859727,80D_20C,S48
NS11-12 marine group,0.022141127,80D_20C,S48
Flavobacteriaceae,14.47469509,80D_20C,S48
JGI 0000069-P22 order,8.853249677,80D_20C,S48
Other,0.939797472,80D_20C,S48
Mycobacteriaceae,0.033611831,80D_20C,S49
Sporichthyaceae,0.246486763,80D_20C,S49
Caulobacteraceae,0.050951268,80D_20C,S49
Rhodobacteraceae,3.082685105,80D_20C,S49
SAR11_Clade III,0.374798596,80D_20C,S49
Bacteriovoracaceae,2.235453546,80D_20C,S49
Moraxellaceae,0.068023944,80D_20C,S49
Methylophagaceae,9.386504049,80D_20C,S49
Pseudomonadaceae,0.32491437,80D_20C,S49
Nitrincolaceae,3.182987078,80D_20C,S49
Porticoccaceae,0.526051837,80D_20C,S49
Saccharospirillaceae,0.528719443,80D_20C,S49
Colwelliaceae,1.443174664,80D_20C,S49
Burkholderiaceae,10.35111026,80D_20C,S49
Arcobacteraceae,54.57387667,80D_20C,S49
Crocinitomicaceae,0.120042255,80D_20C,S49
NS11-12 marine group,0,80D_20C,S49
Flavobacteriaceae,2.426987633,80D_20C,S49
JGI 0000069-P22 order,9.957905183,80D_20C,S49
Other,1.085715505,80D_20C,S49
Mycobacteriaceae,0.033611831,80D_20C,S50
Sporichthyaceae,0.246486763,80D_20C,S50
Caulobacteraceae,0.050951268,80D_20C,S50
Rhodobacteraceae,3.082685105,80D_20C,S50
SAR11_Clade III,0.374798596,80D_20C,S50
