Class,Relative,Sample,Microcosms
Parcubacteria,0.05628648,S47,80D_20C
Gracilibacteria,7.67390121,S47,80D_20C
Other,0.11977549,S47,80D_20C
Acidimicrobiia,0.022674648,S48,80D_20C
Actinobacteria,0.273696341,S48,80D_20C
Thermoleophilia,0.034945634,S48,80D_20C
Alphaproteobacteria,9.275531654,S48,80D_20C
Deltaproteobacteria,3.525507645,S48,80D_20C
Gammaproteobacteria,15.04129454,S48,80D_20C
Campylobacteria,47.49858617,S48,80D_20C
Bacteroidia,15.31659144,S48,80D_20C
Verrucomicrobiae,0.062155212,S48,80D_20C
Parcubacteria,0.025342254,S48,80D_20C
Gracilibacteria,8.853249677,S48,80D_20C
Other,0.07042479,S48,80D_20C
Acidimicrobiia,0.07522648,S49,80D_20C
Actinobacteria,0.382801413,S49,80D_20C
Thermoleophilia,0.007469296,S49,80D_20C
Alphaproteobacteria,3.63621328,S49,80D_20C
Deltaproteobacteria,2.235453546,S49,80D_20C
Gammaproteobacteria,26.09665269,S49,80D_20C
Campylobacteria,54.70645667,S49,80D_20C
Bacteroidia,2.761772144,S49,80D_20C
Verrucomicrobiae,0.025609014,S49,80D_20C
Parcubacteria,0.063222254,S49,80D_20C
Gracilibacteria,9.957905183,S49,80D_20C
Other,0.051218029,S49,80D_20C
Acidimicrobiia,0.077093804,S50,80D_20C
Actinobacteria,0.299572116,S50,80D_20C
Thermoleophilia,0.023208169,S50,80D_20C
Alphaproteobacteria,6.93284036,S50,80D_20C
Deltaproteobacteria,3.003990738,S50,80D_20C
Gammaproteobacteria,36.12951759,S50,80D_20C
Campylobacteria,48.19616505,S50,80D_20C
Bacteroidia,0.982745927,S50,80D_20C
Verrucomicrobiae,0.044815775,S50,80D_20C
Parcubacteria,0.013604789,S50,80D_20C
Gracilibacteria,4.266835259,S50,80D_20C
Other,0.029610423,S50,80D_20C
Acidimicrobiia,0.047750141,S51,50D_50C
Actinobacteria,0.329449299,S51,50D_50C
Thermoleophilia,0.036279437,S51,50D_50C
Alphaproteobacteria,5.10072879,S51,50D_50C
Deltaproteobacteria,1.067575787,S51,50D_50C
Gammaproteobacteria,13.19211029,S51,50D_50C
Campylobacteria,73.87480393,S51,50D_50C
Bacteroidia,0.578336908,S51,50D_50C
Verrucomicrobiae,0.088564508,S51,50D_50C
Parcubacteria,0.038413522,S51,50D_50C
Gracilibacteria,5.550753865,S51,50D_50C
Other,0.095233522,S51,50D_50C
Acidimicrobiia,0.027476338,S52,50D_50C
Actinobacteria,0.118174931,S52,50D_50C
Thermoleophilia,0.024541972,S52,50D_50C
Alphaproteobacteria,4.677646532,S52,50D_50C
Deltaproteobacteria,1.03156311,S52,50D_50C
Gammaproteobacteria,27.02871411,S52,50D_50C
Campylobacteria,58.70439728,S52,50D_50C
Bacteroidia,0.512447048,S52,50D_50C
Verrucomicrobiae,0.062155212,S52,50D_50C
Parcubacteria,0.018406479,S52,50D_50C
Gracilibacteria,7.764333045,S52,50D_50C
Other,0.030143944,S52,50D_50C
Acidimicrobiia,0.077360564,S53,50D_50C
Actinobacteria,0.343054088,S53,50D_50C
Thermoleophilia,0.029877183,S53,50D_50C
Alphaproteobacteria,5.810311896,S53,50D_50C
Deltaproteobacteria,2.370434393,S53,50D_50C
Gammaproteobacteria,13.46393931,S53,50D_50C
Campylobacteria,61.25222745,S53,50D_50C
Bacteroidia,6.177907957,S53,50D_50C
Verrucomicrobiae,0.064556057,S53,50D_50C
Parcubacteria,0.015472113,S53,50D_50C
Gracilibacteria,10.33830575,S53,50D_50C
